,other_asin,product,category2,overall_rating,similarity,new_sim,topic_3_score,topic_4_score,topic_5_score,topic_6_score
26,B003ELVR8Q,"Institut Esthederm Esthe-White Targeted Dark Spots roll-on, 0.3 oz",Treatments & Masks,3.0,0.9497853828290304,0.95,,,,
27,B00C2UZJX4,"Revision Skincare Finishing Touch Microdermabrasion Cream, 1.7 Ounce",Treatments & Masks,4.9,0.9496474557847454,0.95,0.7077,,0.1181,
29,B008WBTRTE,"Natura Bisse C+C Vitamin Complex, 1.0 Fl Oz",Treatments & Masks,5.0,0.9489054559711981,0.949,,,,
36,B007SGQZ0S,"Epicuren Discovery Pumpkin Apple Spice Peel, 2.5 Fl oz",Treatments & Masks,4.3,0.9350969039098432,0.935,,,,
41,B001PGLEU8,"Jurlique Moisture Replenishing Mask, 4.1 oz",Treatments & Masks,5.0,0.929697022369022,0.93,,,,
44,B00AF3RYPQ,"Rituals Ultra Calming Facial Toner, 6.7 fl. oz.",Toners & Astringents,5.0,0.9256965513836325,0.926,,,,
50,B000AV31NC,"Natura Bisse Stabilizing Toner, 7.0 fl. oz.",Toners & Astringents,5.0,0.9204539538244595,0.92,,,,
66,B0001QNL5Y,"June Jacobs Cranberry Hydrating Toner, 6.7 Fl Oz",Toners & Astringents,5.0,0.9016178466048717,0.902,,,,
111,B00PRION6W,"Borghese Fango Purificante Oil Control Tonic, Black, 6 fl. oz.",Toners & Astringents,1.0,0.8112669662976352,0.811,,,,
226,B002Z7FVHS,"Zirh Refresh Invigorating Astringent, 6.7 fl. oz.",Toners & Astringents,3.4,0.6559163963436424,0.656,,0.6281,0.6281,0.3498
61,B012VTGYR0,BeautyRx by Dr. Schultz Progressive Peel Replenishment Kit,Sets & Kits,5.0,0.9060859395099877,0.906,,,,
68,B00N2JNXUA,Jack Black The Jack Pack - Limited Edition Set,Sets & Kits,4.5,0.8926683195415347,0.893,,,0.5594,
75,B0153FULVO,ELEMIS Clean Man Kit,Sets & Kits,4.6,0.8879782710178525,0.888,,,,
81,B014Z0YWSG,bliss Firm Complete Collection Set,Sets & Kits,5.0,0.8786216398559069,0.879,,,,
101,B00CFQYJP4,HydroPeptide Anti-Wrinkle Polish (1 fl. oz) and Plump Peel (1 fl. oz),Sets & Kits,4.9,0.8389103929686595,0.839,,,,0.5551
55,B001KWW4YM,"Yu-Be Foaming Skin Polish: Gently exfoliates using fine grains of rice bran & bamboo. Tones and balances with ginger root & ginseng. Soothes with green tea, geranium oil & camphor. Tube, 6.75 Fl Oz",Not listed,4.2,0.9123751429977683,0.912,0.46433636363636366,0.4782666666666667,0.6066235294117647,0.71645
114,B014UC32T4,"DDF Micro-Derma Crystals Polishing Gel, 2.0 Oz",Not listed,5.0,0.8082893080209252,0.808,,,,
165,B01A5OO16E,"philosophy renewed hope for men mattifying moisturizer, 2.5 fl. oz.",Not listed,3.8,0.737268967863272,0.737,0.44146666666666673,0.38385,0.563290625,0.27
183,B0196B2T70,Jack Black Beard Oil - 1.0 oz,Not listed,3.7,0.7095994413640296,0.71,,,0.6808,0.6369
285,B00DRK72B0,"Jurlique Purely Age Defying Firming Face Oil, 1.6 Fl Oz",Not listed,4.2,0.5972792424193127,0.597,0.3252,,0.5919764705882353,0.5859
0,B000W7QGS6,"Mario Badescu Almond & Honey Face Scrub, 4 oz.","Exfoliators, Polishes & Scrubs",3.4,0.9886071250749755,0.989,0.6419538461538461,0.6588,0.625625,0.5178714285714285
1,B000Z5YEES,"Red Flower Lemon Coffee Blossom Olive Stone Scrub, 14.5 oz","Exfoliators, Polishes & Scrubs",3.8,0.9826496713041027,0.983,,,0.38255,0.7045
2,B001CT097M,"Zirh Aloe Facial Scrub, 3.3 fl. oz.","Exfoliators, Polishes & Scrubs",4.4,0.981848364437943,0.982,,,0.3412,0.2716
3,B003SSPOL6,"PRESCRIBEDsolutions Surface Improvement Exfoliating Polish, 6 Ounce","Exfoliators, Polishes & Scrubs",4.4,0.9797155747352376,0.98,,,,
4,B000BOCRVA,"JACK BLACK  Face Buff Energizing Scrub  Deep-Cleaning Pre-shave Cleanser and Scrub, Reduces Ingrown Hairs,...","Exfoliators, Polishes & Scrubs",4.2,0.9773394018166098,0.977,0.3371,0.6042,0.4937384615384615,0.6530076923076924
13,B00GB2CMCU,"SKIN&CO Roma Sicilian Light Gommage Moisturizer, 2.5  Fl Oz",Creams & Moisturizers,5.0,0.9629967197915109,0.963,,,,
30,B00NAT2GM8,"Rituals Samurai Anti-Age Face Cream, 1.6 fl. oz.",Creams & Moisturizers,3.6,0.9454753564855077,0.945,,,,
33,B006PK64YU,"NUXE Men Moisturizing  Multi-Purpose Gel, 1.5 oz.",Creams & Moisturizers,4.5,0.941397079726057,0.941,0.73295,,0.739,0.5615000000000001
46,B01GUCMJT6,Malibu C Perfection Vital Creme,Creams & Moisturizers,4.0,0.9240497208733042,0.924,0.2724,,,
54,B00B3PENQ8,"Guinot Newhite Brightening Mask Kit, Pack of 7 Masks",Creams & Moisturizers,2.7,0.9140326769685619,0.914,,,,
6,B007DIVH72,"AHAVA Time to Energize Exfoliating Cleansing Gel for Men, 3.4 Fl Oz",Cleansers,4.0,0.9713939435368107,0.971,,,0.5099,0.1348
11,B00FAA12G6,"Elizabeth Arden Prevage Anti-Aging Treatment Boosting Cleanser, 4.2 oz.",Cleansers,4.6,0.9656333373747347,0.966,,,,
15,B000N5KNXG,"Task Essential Face Wash, 3.4 Oz",Cleansers,4.7,0.9612047889612747,0.961,,,,
24,B001PNSP8U,"Anthony Logistics for Men Foaming Face Wash, 4 oz",Cleansers,3.3,0.9524255951695123,0.952,,,,
25,B00DG8WFP6,"SABON Foamy Face Wash, 7 fl. oz.",Cleansers,3.6,0.952216104839393,0.952,,,0.7881,
